epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4613,0.93511,2.75741,1.15167,0.7753,0.68948,0.79079,0.64071,0.75195,1.57331,1.04902,0.000330218,0.000330218,0.000330218
2,39.3505,0.75844,1.09182,1.08121,0.88886,0.84909,0.91431,0.76498,0.62201,0.95002,0.95921,0.000650413,0.000650413,0.000650413
3,58.0383,0.72281,0.96654,1.07345,0.91387,0.89527,0.94114,0.81135,0.55456,0.84887,0.96961,0.000957408,0.000957408,0.000957408
4,76.7412,0.69905,0.89076,1.05826,0.91859,0.88483,0.94302,0.81469,0.5448,0.81483,0.95414,0.0009406,0.0009406,0.0009406
5,95.3804,0.65052,0.8156,1.03739,0.95717,0.91061,0.96269,0.85201,0.51259,0.66943,0.9324,0.0009208,0.0009208,0.0009208
6,114.114,0.61784,0.74781,1.00885,0.91269,0.91729,0.95641,0.85504,0.46597,0.68015,0.92123,0.000901,0.000901,0.000901
7,132.758,0.60966,0.74414,1.01121,0.95857,0.93006,0.96799,0.8535,0.51604,0.6373,0.94862,0.0008812,0.0008812,0.0008812
8,151.336,0.5905,0.71136,1.0018,0.95827,0.93651,0.97095,0.86972,0.47595,0.59038,0.93506,0.0008614,0.0008614,0.0008614
9,169.753,0.57841,0.65769,0.99321,0.96238,0.93297,0.97469,0.87802,0.45038,0.53885,0.91007,0.0008416,0.0008416,0.0008416
10,188.108,0.58798,0.6526,1.0048,0.96224,0.93309,0.97362,0.87887,0.4598,0.50531,0.91214,0.0008218,0.0008218,0.0008218
11,207.176,0.55097,0.60221,0.9848,0.97174,0.95013,0.97879,0.88492,0.47026,0.49633,0.91499,0.000802,0.000802,0.000802
12,226.718,0.55479,0.60699,0.99345,0.95631,0.92799,0.96752,0.88668,0.41581,0.47645,0.89823,0.0007822,0.0007822,0.0007822
13,245.141,0.55138,0.60861,0.98614,0.97158,0.93987,0.97923,0.90744,0.39719,0.46003,0.88545,0.0007624,0.0007624,0.0007624
14,263.715,0.54862,0.59456,0.98527,0.96983,0.94509,0.97926,0.90687,0.404,0.45821,0.89407,0.0007426,0.0007426,0.0007426
15,282.08,0.53506,0.58916,0.97268,0.97284,0.9511,0.979,0.90391,0.40105,0.44467,0.86562,0.0007228,0.0007228,0.0007228
16,300.566,0.5217,0.55862,0.95901,0.98361,0.95585,0.98131,0.90306,0.4077,0.42267,0.85851,0.000703,0.000703,0.000703
17,319.183,0.51042,0.5374,0.95678,0.97658,0.94725,0.97985,0.90227,0.41848,0.40857,0.86532,0.0006832,0.0006832,0.0006832
18,338.881,0.50878,0.53174,0.95942,0.97077,0.95088,0.9771,0.91679,0.36185,0.39887,0.85827,0.0006634,0.0006634,0.0006634
19,357.376,0.49876,0.5304,0.95449,0.96507,0.94502,0.97439,0.91407,0.36461,0.3989,0.84961,0.0006436,0.0006436,0.0006436
20,376.229,0.49966,0.53532,0.95887,0.98847,0.9371,0.98228,0.92976,0.34704,0.3639,0.85615,0.0006238,0.0006238,0.0006238
21,395.053,0.48449,0.50195,0.94642,0.98042,0.94109,0.98064,0.93044,0.33132,0.37197,0.8436,0.000604,0.000604,0.000604
22,413.551,0.47695,0.49481,0.94144,0.99035,0.95629,0.98348,0.93102,0.33937,0.35075,0.84866,0.0005842,0.0005842,0.0005842
23,432.083,0.47232,0.48144,0.94161,0.97746,0.96145,0.98419,0.92726,0.36003,0.35219,0.85433,0.0005644,0.0005644,0.0005644
24,450.81,0.47899,0.4853,0.9458,0.97754,0.95552,0.98297,0.93079,0.33548,0.35311,0.84805,0.0005446,0.0005446,0.0005446
25,469.456,0.46514,0.48236,0.93886,0.98404,0.95571,0.98409,0.93057,0.34479,0.34671,0.84148,0.0005248,0.0005248,0.0005248
26,487.94,0.46178,0.47981,0.93828,0.98723,0.96219,0.98409,0.93668,0.33404,0.32661,0.84073,0.000505,0.000505,0.000505
27,506.495,0.45336,0.45618,0.92979,0.99357,0.95577,0.98517,0.93595,0.33953,0.31834,0.84064,0.0004852,0.0004852,0.0004852
28,525.389,0.44783,0.45384,0.92976,0.98731,0.95936,0.98417,0.93583,0.32829,0.32272,0.83623,0.0004654,0.0004654,0.0004654
29,543.668,0.44602,0.44867,0.9315,0.99122,0.96312,0.98533,0.93635,0.32667,0.3204,0.83564,0.0004456,0.0004456,0.0004456
30,562.374,0.44757,0.4533,0.92797,0.98405,0.95851,0.98524,0.93374,0.34944,0.32922,0.84066,0.0004258,0.0004258,0.0004258
31,580.887,0.4383,0.44252,0.92494,0.98921,0.95389,0.98609,0.94191,0.29727,0.30342,0.83331,0.000406,0.000406,0.000406
32,599.869,0.44992,0.44322,0.92962,0.98312,0.96373,0.98596,0.94164,0.30785,0.3031,0.82974,0.0003862,0.0003862,0.0003862
33,618.604,0.44028,0.43671,0.92446,0.98665,0.96178,0.98639,0.93959,0.31154,0.30379,0.83791,0.0003664,0.0003664,0.0003664
34,637.423,0.42807,0.42628,0.92033,0.977,0.96611,0.98561,0.94183,0.29897,0.29414,0.82962,0.0003466,0.0003466,0.0003466
35,656.258,0.43278,0.43451,0.92045,0.98568,0.96564,0.98593,0.93791,0.33124,0.30424,0.83792,0.0003268,0.0003268,0.0003268
36,674.944,0.42857,0.41679,0.92157,0.98432,0.96493,0.98641,0.94347,0.3157,0.2958,0.83132,0.000307,0.000307,0.000307
37,694.096,0.43274,0.42028,0.92553,0.98113,0.96677,0.98645,0.94395,0.31653,0.29317,0.83361,0.0002872,0.0002872,0.0002872
38,712.973,0.42142,0.40582,0.92009,0.99169,0.96188,0.98609,0.94452,0.33706,0.29263,0.8337,0.0002674,0.0002674,0.0002674
39,731.928,0.42251,0.41202,0.92369,0.99278,0.96046,0.98548,0.94995,0.27531,0.2723,0.82064,0.0002476,0.0002476,0.0002476
40,750.834,0.41343,0.40052,0.9179,0.99609,0.95542,0.98662,0.94653,0.28943,0.27655,0.82578,0.0002278,0.0002278,0.0002278
41,769.406,0.3223,0.32096,0.84885,0.98388,0.96801,0.98583,0.94406,0.3116,0.28344,0.82842,0.000208,0.000208,0.000208
42,787.505,0.31562,0.31391,0.84776,0.98686,0.96675,0.98573,0.94878,0.29078,0.27752,0.82414,0.0001882,0.0001882,0.0001882
43,805.772,0.30392,0.30358,0.84173,0.98956,0.9613,0.98635,0.94819,0.29255,0.27399,0.82691,0.0001684,0.0001684,0.0001684
44,823.958,0.30439,0.30053,0.84113,0.98942,0.96637,0.98709,0.94731,0.28607,0.26807,0.82494,0.0001486,0.0001486,0.0001486
45,842.475,0.2968,0.29715,0.84105,0.9897,0.96888,0.98647,0.94704,0.28993,0.2648,0.82455,0.0001288,0.0001288,0.0001288
46,860.752,0.29684,0.28955,0.84157,0.98933,0.97356,0.98705,0.95238,0.27281,0.25846,0.81999,0.000109,0.000109,0.000109
47,879.181,0.28982,0.2803,0.83598,0.9919,0.97214,0.98724,0.95147,0.26779,0.25641,0.82046,8.92e-05,8.92e-05,8.92e-05
48,897.353,0.28208,0.27992,0.83795,0.99201,0.97136,0.98673,0.95308,0.27909,0.25588,0.82226,6.94e-05,6.94e-05,6.94e-05
49,916.213,0.2842,0.27668,0.83592,0.99358,0.9643,0.987,0.95584,0.2637,0.25115,0.81828,4.96e-05,4.96e-05,4.96e-05
50,934.275,0.28086,0.27783,0.83206,0.99384,0.96472,0.98698,0.95552,0.27298,0.25066,0.81866,2.98e-05,2.98e-05,2.98e-05
