epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2955,1.88979,3.98242,1.62722,0.24925,0.18153,0.10476,0.08898,1.75549,3.39172,1.5756,0.00332394,0.00332394,0.00332394
2,54.2771,1.7188,2.90019,1.44683,0.40082,0.19912,0.18207,0.14929,1.70272,2.77648,1.49818,0.00662432,0.00662432,0.00662432
3,81.1512,1.68363,2.70155,1.4292,0.55569,0.24901,0.23208,0.19243,1.61369,2.35971,1.33592,0.0098917,0.0098917,0.0098917
4,107.053,1.66907,2.62761,1.41073,0.60663,0.26086,0.24745,0.20946,1.50398,2.31961,1.30297,0.0098515,0.0098515,0.0098515
5,132.387,1.60988,2.5282,1.38215,0.73857,0.27057,0.27245,0.23814,1.4838,2.25731,1.34002,0.009802,0.009802,0.009802
6,157.662,1.56756,2.45517,1.36608,0.82247,0.26851,0.27456,0.24087,1.40767,2.08899,1.25749,0.0097525,0.0097525,0.0097525
7,182.99,1.55005,2.44657,1.36313,0.65872,0.26972,0.26138,0.23138,1.44608,2.28462,1.31909,0.009703,0.009703,0.009703
8,208.481,1.51873,2.40167,1.34714,0.78789,0.27959,0.28124,0.24972,1.39941,2.13092,1.29347,0.0096535,0.0096535,0.0096535
9,234.245,1.51086,2.39564,1.34386,0.83138,0.26908,0.27746,0.24564,1.4058,2.05961,1.27586,0.009604,0.009604,0.009604
10,258.51,1.48167,2.33855,1.33189,0.82935,0.27627,0.28811,0.25603,1.40542,2.09999,1.2928,0.0095545,0.0095545,0.0095545
11,282.264,1.47257,2.33247,1.32633,0.80388,0.28356,0.28738,0.26052,1.34765,1.99329,1.2555,0.009505,0.009505,0.009505
12,305.934,1.45928,2.32481,1.32684,0.85869,0.27844,0.28812,0.25974,1.3274,1.96259,1.21738,0.0094555,0.0094555,0.0094555
13,329.519,1.44899,2.29749,1.31912,0.84472,0.28043,0.28497,0.26026,1.30976,1.96648,1.21824,0.009406,0.009406,0.009406
14,353.324,1.43875,2.29179,1.31496,0.8401,0.28326,0.29237,0.26537,1.30355,1.92946,1.22896,0.0093565,0.0093565,0.0093565
15,377.076,1.42889,2.27011,1.31352,0.86698,0.28177,0.29171,0.26647,1.28812,1.95225,1.22397,0.009307,0.009307,0.009307
16,400.064,1.42275,2.28488,1.31696,0.79953,0.28198,0.28641,0.26378,1.30618,2.06178,1.23811,0.0092575,0.0092575,0.0092575
17,423.869,1.41199,2.258,1.31139,0.81251,0.28397,0.28929,0.26717,1.32451,2.02405,1.29423,0.009208,0.009208,0.009208
18,447.149,1.4109,2.2603,1.31002,0.85351,0.28372,0.29217,0.2666,1.2668,1.94498,1.22733,0.0091585,0.0091585,0.0091585
19,470.213,1.41232,2.26784,1.31253,0.86975,0.28045,0.29127,0.26585,1.2865,1.90504,1.22186,0.009109,0.009109,0.009109
20,493.172,1.39555,2.22912,1.30321,0.84391,0.28333,0.29378,0.27159,1.27938,2.03219,1.26435,0.0090595,0.0090595,0.0090595
21,516.422,1.38937,2.22765,1.29867,0.88855,0.28037,0.29211,0.27003,1.27184,1.90937,1.21571,0.00901,0.00901,0.00901
22,539.528,1.37798,2.21943,1.29385,0.88181,0.28123,0.29292,0.27046,1.27433,1.96216,1.23405,0.0089605,0.0089605,0.0089605
23,562.585,1.38088,2.20495,1.2939,0.86136,0.28246,0.29007,0.26892,1.25388,1.89564,1.23125,0.008911,0.008911,0.008911
24,585.733,1.38294,2.21755,1.29574,0.86765,0.28246,0.29117,0.27133,1.2593,1.96692,1.21895,0.0088615,0.0088615,0.0088615
25,608.305,1.36976,2.18845,1.29008,0.87643,0.28543,0.29052,0.27,1.26255,1.97848,1.23183,0.008812,0.008812,0.008812
26,631.1,1.36121,2.18819,1.28763,0.88006,0.28342,0.29152,0.2701,1.25444,1.94723,1.23128,0.0087625,0.0087625,0.0087625
27,654.205,1.35874,2.17911,1.28507,0.92535,0.28154,0.29291,0.27231,1.23166,1.85337,1.20907,0.008713,0.008713,0.008713
28,677.305,1.35968,2.19854,1.29229,0.89866,0.28195,0.29319,0.27411,1.24867,1.93046,1.24868,0.0086635,0.0086635,0.0086635
29,700.783,1.36217,2.19049,1.28712,0.84634,0.28511,0.28946,0.26905,1.23355,1.8907,1.21152,0.008614,0.008614,0.008614
30,723.982,1.3504,2.17198,1.28112,0.89478,0.28146,0.29143,0.27252,1.19943,1.91482,1.21049,0.0085645,0.0085645,0.0085645
31,746.944,1.34931,2.18362,1.28489,0.87243,0.28486,0.2949,0.27711,1.19879,1.8767,1.20303,0.008515,0.008515,0.008515
32,770.061,1.33822,2.17585,1.28513,0.85655,0.28921,0.29307,0.27408,1.21176,1.90579,1.21022,0.0084655,0.0084655,0.0084655
33,793.236,1.33911,2.16926,1.28096,0.9014,0.28377,0.29481,0.27488,1.21046,1.91343,1.21331,0.008416,0.008416,0.008416
34,816.524,1.33804,2.16544,1.27874,0.83835,0.28626,0.2941,0.27624,1.19798,1.88078,1.19849,0.0083665,0.0083665,0.0083665
35,839.638,1.32055,2.1324,1.27363,0.84996,0.2867,0.29366,0.27544,1.22899,1.84876,1.20938,0.008317,0.008317,0.008317
36,862.837,1.32727,2.14579,1.27837,0.85131,0.28858,0.29525,0.276,1.21152,1.86134,1.21155,0.0082675,0.0082675,0.0082675
37,886.003,1.3299,2.14957,1.27575,0.87396,0.28526,0.29424,0.27738,1.19034,1.86382,1.20624,0.008218,0.008218,0.008218
38,908.888,1.3244,2.14797,1.27864,0.85568,0.28845,0.29682,0.28004,1.1894,1.84416,1.19658,0.0081685,0.0081685,0.0081685
39,931.977,1.32813,2.14676,1.27794,0.89128,0.28496,0.29375,0.2772,1.18444,1.85992,1.20148,0.008119,0.008119,0.008119
40,954.946,1.32196,2.15384,1.27664,0.88876,0.2871,0.29534,0.27892,1.17727,1.80317,1.18063,0.0080695,0.0080695,0.0080695
41,977.729,1.32719,2.16716,1.28148,0.86669,0.28599,0.29502,0.27856,1.18269,1.86703,1.21191,0.00802,0.00802,0.00802
42,1000.58,1.29968,2.1188,1.26417,0.8696,0.28875,0.29797,0.28045,1.17505,1.8812,1.20049,0.0079705,0.0079705,0.0079705
43,1023.47,1.30946,2.13523,1.27238,0.86987,0.28878,0.29733,0.28001,1.17117,1.86144,1.19523,0.007921,0.007921,0.007921
44,1046.34,1.31217,2.1332,1.27297,0.87253,0.28677,0.29521,0.27909,1.19099,1.8587,1.20989,0.0078715,0.0078715,0.0078715
45,1069.28,1.30658,2.12107,1.2689,0.88077,0.28851,0.29659,0.27923,1.19052,1.85415,1.20667,0.007822,0.007822,0.007822
46,1092.16,1.29874,2.11216,1.26712,0.87257,0.28944,0.29724,0.28058,1.17684,1.88972,1.20268,0.0077725,0.0077725,0.0077725
47,1115.06,1.30578,2.13188,1.27237,0.87284,0.28957,0.29851,0.28136,1.18648,1.82931,1.20072,0.007723,0.007723,0.007723
48,1137.71,1.30301,2.11997,1.27014,0.91749,0.28411,0.2977,0.28103,1.16918,1.83532,1.19325,0.0076735,0.0076735,0.0076735
49,1160.67,1.30159,2.11228,1.26502,0.87445,0.28944,0.29674,0.28011,1.16324,1.81796,1.19276,0.007624,0.007624,0.007624
