epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.191,1.85965,4.24392,1.7105,0.08938,0.13161,0.03311,0.02631,1.88606,3.43763,1.82057,0.0671241,0.00033208,0.00033208
2,48.4451,1.75996,3.46909,1.5883,0.13543,0.19853,0.0783,0.06727,1.65544,2.94108,1.56325,0.034124,0.000665395,0.000665395
3,71.6185,1.67521,3.09496,1.51601,0.5257,0.26924,0.20653,0.17682,1.56424,2.4733,1.48642,0.00112395,0.000998638,0.000998638
4,94.2869,1.58933,2.77375,1.45202,0.6254,0.25845,0.24911,0.22071,1.51513,2.33615,1.45208,0.000999756,0.000999756,0.000999756
5,116.604,1.51351,2.59463,1.4005,0.83203,0.26569,0.27638,0.24764,1.44023,2.21436,1.39542,0.000999566,0.000999566,0.000999566
6,138.959,1.46901,2.52006,1.37853,0.84472,0.27075,0.27953,0.25231,1.34722,2.06242,1.3049,0.000999322,0.000999322,0.000999322
7,161.135,1.45296,2.48588,1.36858,0.85937,0.27163,0.2816,0.25465,1.40344,2.16412,1.38276,0.000999023,0.000999023,0.000999023
8,183.332,1.43361,2.43755,1.35227,0.7622,0.27415,0.28073,0.25455,1.35829,2.1248,1.30253,0.000998671,0.000998671,0.000998671
9,205.639,1.40612,2.3978,1.3387,0.84377,0.28229,0.28799,0.26156,1.32436,2.02861,1.28646,0.000998264,0.000998264,0.000998264
10,227.837,1.41501,2.40316,1.33445,0.82945,0.28297,0.28673,0.26175,1.35041,2.11781,1.34115,0.000997803,0.000997803,0.000997803
11,249.987,1.39154,2.35987,1.32637,0.80927,0.28486,0.28822,0.26263,1.32956,2.07788,1.31849,0.000997288,0.000997288,0.000997288
12,271.955,1.37314,2.33193,1.3186,0.85372,0.2847,0.29156,0.26636,1.31582,2.06375,1.30884,0.00099672,0.00099672,0.00099672
13,294.192,1.37666,2.33699,1.31432,0.8293,0.28475,0.29179,0.26699,1.2937,2.0221,1.28776,0.000996097,0.000996097,0.000996097
14,316.537,1.37095,2.31601,1.31002,0.87884,0.28167,0.29212,0.26932,1.31242,2.04779,1.31219,0.00099542,0.00099542,0.00099542
15,338.262,1.37313,2.32989,1.31274,0.86607,0.28211,0.2922,0.26899,1.27612,2.04935,1.28879,0.00099469,0.00099469,0.00099469
16,360.535,1.35659,2.305,1.30485,0.86018,0.28527,0.29451,0.2721,1.24187,1.9634,1.24822,0.000993906,0.000993906,0.000993906
17,382.808,1.36806,2.30586,1.30569,0.86962,0.28218,0.29529,0.27273,1.25538,2.0179,1.25386,0.000993068,0.000993068,0.000993068
18,405.017,1.35177,2.30372,1.30121,0.85888,0.28469,0.29381,0.26995,1.26169,2.00249,1.25781,0.000992177,0.000992177,0.000992177
19,427.19,1.34254,2.29388,1.30137,0.8728,0.28413,0.29399,0.2717,1.24896,1.97741,1.26043,0.000991232,0.000991232,0.000991232
20,449.326,1.33933,2.27815,1.29821,0.86918,0.28435,0.29447,0.27473,1.28074,2.04009,1.3163,0.000990234,0.000990234,0.000990234
21,471.35,1.33546,2.26681,1.2927,0.85754,0.2831,0.29496,0.27454,1.25105,2.01104,1.25499,0.000989183,0.000989183,0.000989183
22,493.516,1.34051,2.27733,1.29278,0.87192,0.28601,0.29578,0.27461,1.25561,2.0061,1.24634,0.000988079,0.000988079,0.000988079
23,515.904,1.32526,2.2508,1.28652,0.89821,0.28361,0.29509,0.27615,1.20553,1.93134,1.25178,0.000986922,0.000986922,0.000986922
24,538.091,1.32375,2.25089,1.2843,0.8684,0.28476,0.29715,0.27637,1.22274,1.92789,1.23428,0.000985711,0.000985711,0.000985711
25,560.491,1.3203,2.23651,1.28433,0.86268,0.28523,0.29476,0.27336,1.23658,1.95896,1.27517,0.000984449,0.000984449,0.000984449
26,582.895,1.32085,2.2376,1.28196,0.88954,0.2822,0.29448,0.27393,1.22726,2.01688,1.26828,0.000983133,0.000983133,0.000983133
27,605.184,1.31416,2.23316,1.28151,0.87396,0.28689,0.29604,0.27551,1.20969,1.90261,1.21744,0.000981765,0.000981765,0.000981765
28,627.7,1.30019,2.21945,1.28019,0.84751,0.28877,0.29745,0.27829,1.2107,1.96474,1.23816,0.000980345,0.000980345,0.000980345
29,649.836,1.30899,2.22079,1.27759,0.85611,0.28611,0.2966,0.27799,1.21991,1.92202,1.21468,0.000978873,0.000978873,0.000978873
30,672.084,1.3156,2.21999,1.27809,0.86935,0.28483,0.29692,0.27863,1.21408,1.97713,1.24283,0.000977349,0.000977349,0.000977349
31,694.196,1.30244,2.20937,1.27316,0.87361,0.2838,0.29593,0.27556,1.21221,1.97645,1.23678,0.000975773,0.000975773,0.000975773
32,716.207,1.30482,2.2146,1.27729,0.90262,0.28514,0.29685,0.27754,1.18974,1.92416,1.2274,0.000974145,0.000974145,0.000974145
33,738.385,1.29174,2.19839,1.26668,0.88725,0.28838,0.29968,0.28084,1.2027,1.88913,1.21439,0.000972466,0.000972466,0.000972466
34,758.646,1.29439,2.19043,1.26836,0.89088,0.28532,0.29987,0.27959,1.19208,1.90763,1.22212,0.000970736,0.000970736,0.000970736
35,778.964,1.29774,2.20466,1.26933,0.87827,0.28546,0.29988,0.28159,1.18411,1.932,1.22598,0.000968955,0.000968955,0.000968955
36,799.637,1.29218,2.19568,1.26813,0.9014,0.2851,0.29947,0.28276,1.17698,1.92068,1.22104,0.000967122,0.000967122,0.000967122
37,819.562,1.28555,2.18028,1.26053,0.89598,0.28599,0.30041,0.28197,1.192,1.94987,1.25074,0.000965239,0.000965239,0.000965239
38,839.022,1.28715,2.18233,1.26651,0.90531,0.28425,0.29913,0.28048,1.19093,1.91521,1.22809,0.000963306,0.000963306,0.000963306
39,858.62,1.28557,2.1771,1.2659,0.93554,0.28281,0.29961,0.28175,1.17535,1.92757,1.23326,0.000961322,0.000961322,0.000961322
40,878.508,1.2805,2.17537,1.26275,0.92011,0.28351,0.29796,0.27966,1.20541,1.96059,1.26162,0.000959289,0.000959289,0.000959289
41,898.366,1.27639,2.16971,1.26369,0.8786,0.28921,0.29994,0.28307,1.18354,1.90306,1.22244,0.000957205,0.000957205,0.000957205
42,918.985,1.27455,2.16686,1.25959,0.88223,0.28678,0.29871,0.28154,1.18107,1.93631,1.2309,0.000955072,0.000955072,0.000955072
43,941.614,1.27725,2.16252,1.25966,0.87892,0.28976,0.30021,0.284,1.16421,1.90153,1.21587,0.000952889,0.000952889,0.000952889
44,966.255,1.27212,2.15723,1.25857,0.91512,0.28391,0.29873,0.28191,1.16759,1.88044,1.20753,0.000950658,0.000950658,0.000950658
45,990.321,1.28723,2.17261,1.26422,0.90496,0.28559,0.29985,0.28322,1.16428,1.88526,1.20809,0.000948377,0.000948377,0.000948377
46,1013.29,1.27413,2.15897,1.2596,0.87662,0.2897,0.29838,0.2824,1.16036,1.90114,1.20824,0.000946048,0.000946048,0.000946048
47,1036.12,1.26335,2.14677,1.24905,0.91558,0.28271,0.29929,0.28284,1.16389,1.88883,1.20067,0.000943671,0.000943671,0.000943671
48,1059.2,1.26698,2.14255,1.25552,0.91791,0.28373,0.29804,0.28126,1.15752,1.88603,1.21142,0.000941245,0.000941245,0.000941245
49,1082.93,1.27497,2.16353,1.25991,0.89403,0.28783,0.29889,0.28311,1.16158,1.84357,1.19413,0.000938772,0.000938772,0.000938772
50,1105.62,1.27239,2.15903,1.25874,0.87413,0.28799,0.29975,0.28434,1.15481,1.88566,1.2023,0.000936251,0.000936251,0.000936251
51,1128.1,1.26688,2.15278,1.2552,0.87816,0.28605,0.29816,0.2823,1.16493,1.88445,1.20838,0.000933683,0.000933683,0.000933683
52,1155.04,1.26361,2.15625,1.25627,0.87894,0.28771,0.2981,0.28193,1.15491,1.8709,1.20354,0.000931067,0.000931067,0.000931067
53,1178.29,1.26675,2.14262,1.25706,0.8871,0.28771,0.29901,0.28317,1.1503,1.88247,1.20717,0.000928405,0.000928405,0.000928405
54,1200.58,1.26063,2.13015,1.2487,0.87398,0.28819,0.29927,0.28272,1.16363,1.8886,1.21006,0.000925697,0.000925697,0.000925697
55,1223.97,1.25565,2.12564,1.25029,0.88326,0.28725,0.3001,0.28403,1.15388,1.84294,1.18869,0.000922942,0.000922942,0.000922942
56,1247.77,1.26211,2.14535,1.25612,0.88214,0.28979,0.29959,0.28347,1.16429,1.86839,1.2112,0.000920142,0.000920142,0.000920142
