epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5247,0.80781,3.71488,1.06965,0.09847,0.48481,0.15602,0.13679,0.53343,2.53071,0.90035,0.0671241,0.00033208,0.00033208
2,43.1432,0.66145,2.28826,0.97662,0.53058,0.7326,0.58623,0.52361,0.48168,1.40013,0.89926,0.034124,0.000665395,0.000665395
3,62.8451,0.60466,1.46671,0.96119,0.81833,0.83257,0.88528,0.79525,0.45686,0.87963,0.87646,0.00112395,0.000998638,0.000998638
4,82.7826,0.56278,1.05123,0.9408,0.86664,0.82784,0.92056,0.84372,0.39051,0.77401,0.85138,0.000999756,0.000999756,0.000999756
5,102.702,0.52018,0.88907,0.92625,0.92132,0.8915,0.94417,0.87377,0.37737,0.58967,0.8474,0.000999566,0.000999566,0.000999566
6,122.479,0.50013,0.81111,0.91801,0.95017,0.91731,0.95696,0.89189,0.35386,0.50808,0.83735,0.000999322,0.000999322,0.000999322
7,142.149,0.48353,0.77241,0.91394,0.95485,0.92283,0.95995,0.90135,0.34122,0.48255,0.83374,0.000999023,0.000999023,0.000999023
8,162.035,0.47317,0.73509,0.90887,0.9451,0.9015,0.9592,0.89963,0.34345,0.48601,0.83038,0.000998671,0.000998671,0.000998671
9,181.399,0.46269,0.70531,0.90655,0.9335,0.91774,0.95621,0.89914,0.3337,0.48698,0.83136,0.000998264,0.000998264,0.000998264
10,200.564,0.44981,0.67501,0.899,0.96353,0.92745,0.9658,0.91189,0.32473,0.42212,0.82534,0.000997803,0.000997803,0.000997803
11,219.578,0.44529,0.66046,0.8998,0.95248,0.92399,0.96275,0.91094,0.31704,0.42814,0.82333,0.000997288,0.000997288,0.000997288
12,238.538,0.43625,0.64074,0.89771,0.95046,0.93442,0.96584,0.91623,0.3117,0.40939,0.8217,0.00099672,0.00099672,0.00099672
13,257.646,0.43656,0.62642,0.89596,0.95359,0.93096,0.9663,0.91332,0.31329,0.42928,0.82,0.000996097,0.000996097,0.000996097
14,276.455,0.42932,0.61782,0.89467,0.95996,0.93392,0.96826,0.92266,0.29936,0.39306,0.81784,0.00099542,0.00099542,0.00099542
15,295.327,0.42803,0.60636,0.89405,0.96837,0.93308,0.97059,0.92874,0.28583,0.36991,0.81398,0.00099469,0.00099469,0.00099469
16,314.192,0.42201,0.59156,0.89289,0.96454,0.92646,0.97132,0.92851,0.28593,0.3695,0.81357,0.000993906,0.000993906,0.000993906
17,333.08,0.4184,0.58389,0.89218,0.96262,0.93707,0.97051,0.92787,0.28185,0.36964,0.81242,0.000993068,0.000993068,0.000993068
18,351.977,0.41588,0.57292,0.88844,0.96805,0.93802,0.97034,0.9314,0.28128,0.35308,0.81052,0.000992177,0.000992177,0.000992177
19,371.013,0.41241,0.56451,0.89027,0.96547,0.93445,0.97109,0.9286,0.28855,0.35097,0.81444,0.000991232,0.000991232,0.000991232
20,389.877,0.40956,0.55633,0.88652,0.96031,0.9383,0.97114,0.93247,0.2814,0.35014,0.81135,0.000990234,0.000990234,0.000990234
21,408.713,0.40774,0.54572,0.88751,0.96601,0.94422,0.97188,0.93411,0.27681,0.33868,0.80902,0.000989183,0.000989183,0.000989183
22,427.576,0.40679,0.54172,0.88377,0.97126,0.93544,0.97168,0.93197,0.27796,0.34498,0.80933,0.000988079,0.000988079,0.000988079
23,446.461,0.40549,0.5356,0.88409,0.96767,0.94567,0.9734,0.93759,0.27051,0.3353,0.80712,0.000986922,0.000986922,0.000986922
24,465.281,0.40273,0.53027,0.88671,0.96291,0.93954,0.97208,0.93652,0.26792,0.33723,0.8085,0.000985711,0.000985711,0.000985711
25,484.021,0.39888,0.52466,0.88349,0.96237,0.93982,0.9724,0.93594,0.26637,0.33382,0.80658,0.000984449,0.000984449,0.000984449
26,502.927,0.39947,0.51951,0.88547,0.96715,0.94792,0.97324,0.93884,0.26133,0.3196,0.80424,0.000983133,0.000983133,0.000983133
27,521.716,0.39573,0.51308,0.8826,0.97107,0.93869,0.97276,0.93999,0.25765,0.31949,0.80332,0.000981765,0.000981765,0.000981765
28,540.542,0.39022,0.50875,0.88376,0.97016,0.9485,0.9734,0.94029,0.25735,0.31468,0.80427,0.000980345,0.000980345,0.000980345
29,559.457,0.3933,0.50235,0.88165,0.96553,0.94167,0.97228,0.93621,0.26426,0.32428,0.80382,0.000978873,0.000978873,0.000978873
30,578.303,0.38803,0.49315,0.88074,0.97492,0.94752,0.97389,0.94115,0.25876,0.30569,0.80381,0.000977349,0.000977349,0.000977349
31,597.108,0.38881,0.49735,0.88003,0.97442,0.94331,0.9725,0.94062,0.25064,0.31481,0.80086,0.000975773,0.000975773,0.000975773
32,615.923,0.38624,0.48757,0.87944,0.96929,0.95482,0.97455,0.9434,0.25275,0.30399,0.80191,0.000974145,0.000974145,0.000974145
33,634.814,0.38711,0.48446,0.87944,0.97086,0.94761,0.97319,0.94205,0.25272,0.3048,0.80239,0.000972466,0.000972466,0.000972466
34,654.655,0.38574,0.48236,0.87925,0.97236,0.94446,0.97279,0.94172,0.25034,0.30172,0.80037,0.000970736,0.000970736,0.000970736
35,677.174,0.38066,0.47656,0.87731,0.9731,0.94472,0.97323,0.9415,0.24892,0.30566,0.801,0.000968955,0.000968955,0.000968955
36,699.587,0.38451,0.47389,0.87813,0.95998,0.94198,0.9714,0.9417,0.24677,0.31548,0.80013,0.000967122,0.000967122,0.000967122
37,722.394,0.38124,0.47198,0.87575,0.97247,0.94475,0.97381,0.94405,0.24467,0.29632,0.79989,0.000965239,0.000965239,0.000965239
38,744.912,0.38121,0.46834,0.87845,0.96754,0.95183,0.97345,0.94241,0.24797,0.29309,0.802,0.000963306,0.000963306,0.000963306
39,766.486,0.37829,0.46637,0.8786,0.97485,0.9442,0.97296,0.94425,0.24723,0.2991,0.80022,0.000961322,0.000961322,0.000961322
40,787.961,0.37688,0.45984,0.87656,0.97025,0.94967,0.9731,0.94331,0.24069,0.29028,0.79963,0.000959289,0.000959289,0.000959289
41,809.557,0.37486,0.45898,0.87612,0.97509,0.95033,0.97327,0.94532,0.24109,0.28894,0.79793,0.000957205,0.000957205,0.000957205
42,831.111,0.37692,0.45226,0.87832,0.97688,0.94257,0.97442,0.94616,0.23978,0.28461,0.79775,0.000955072,0.000955072,0.000955072
43,852.602,0.37297,0.45335,0.87684,0.97879,0.94199,0.97366,0.94687,0.23988,0.2869,0.79744,0.000952889,0.000952889,0.000952889
44,874.251,0.37013,0.44941,0.87559,0.97828,0.94583,0.9747,0.94701,0.23455,0.28238,0.7963,0.000950658,0.000950658,0.000950658
45,895.952,0.37295,0.44605,0.87562,0.96718,0.95472,0.97457,0.94913,0.23463,0.28172,0.79695,0.000948377,0.000948377,0.000948377
46,917.59,0.37329,0.44516,0.87761,0.97637,0.94147,0.97412,0.94757,0.2341,0.28574,0.79735,0.000946048,0.000946048,0.000946048
47,940.12,0.36975,0.44299,0.87495,0.97924,0.94254,0.97502,0.94895,0.23277,0.28214,0.79578,0.000943671,0.000943671,0.000943671
48,962.751,0.36893,0.43649,0.87333,0.97053,0.94638,0.97438,0.94752,0.23252,0.2823,0.79647,0.000941245,0.000941245,0.000941245
49,985.465,0.36512,0.43423,0.87153,0.97164,0.9512,0.97495,0.94811,0.23069,0.27659,0.79558,0.000938772,0.000938772,0.000938772
50,1007.38,0.36605,0.43599,0.87198,0.97539,0.94891,0.97422,0.9487,0.23124,0.27697,0.79545,0.000936251,0.000936251,0.000936251
51,1029.02,0.36658,0.43162,0.87333,0.97544,0.94724,0.97335,0.9468,0.22857,0.28114,0.79503,0.000933683,0.000933683,0.000933683
52,1050.73,0.36309,0.42889,0.87145,0.96836,0.95787,0.97565,0.94987,0.22669,0.27145,0.794,0.000931067,0.000931067,0.000931067
53,1072.38,0.36406,0.42829,0.87335,0.98102,0.94511,0.97536,0.94959,0.22754,0.27078,0.79456,0.000928405,0.000928405,0.000928405
54,1093.89,0.36371,0.42588,0.87281,0.9794,0.95215,0.97689,0.95094,0.22651,0.26552,0.79505,0.000925697,0.000925697,0.000925697
55,1115.67,0.36396,0.42313,0.87468,0.97083,0.95675,0.97585,0.95064,0.22543,0.26783,0.79347,0.000922942,0.000922942,0.000922942
56,1137.21,0.36236,0.42276,0.87371,0.97733,0.95067,0.97622,0.9513,0.22618,0.26311,0.79385,0.000920142,0.000920142,0.000920142
57,1158.84,0.36292,0.42035,0.87219,0.97466,0.94885,0.97531,0.94941,0.22554,0.26949,0.79436,0.000917296,0.000917296,0.000917296
58,1180.49,0.36082,0.42034,0.87451,0.97537,0.94813,0.97578,0.95072,0.22268,0.27024,0.79287,0.000914405,0.000914405,0.000914405
59,1202.31,0.36028,0.4142,0.87242,0.9709,0.95834,0.97677,0.95217,0.22305,0.26284,0.79225,0.000911469,0.000911469,0.000911469
60,1223.91,0.3583,0.41027,0.87167,0.97269,0.95696,0.97615,0.95191,0.22357,0.26261,0.79239,0.000908488,0.000908488,0.000908488
61,1245.62,0.3586,0.41366,0.87364,0.97552,0.95205,0.97649,0.9518,0.22076,0.26022,0.79232,0.000905463,0.000905463,0.000905463
62,1267.29,0.35663,0.40484,0.86939,0.97321,0.95171,0.97646,0.95058,0.2221,0.26133,0.79251,0.000902395,0.000902395,0.000902395
63,1288.88,0.35738,0.40907,0.87137,0.97995,0.94928,0.97617,0.95209,0.21967,0.25675,0.79159,0.000899282,0.000899282,0.000899282
64,1309.24,0.35187,0.40493,0.8709,0.98018,0.94781,0.97594,0.95352,0.21631,0.258,0.79128,0.000896127,0.000896127,0.000896127
65,1328.8,0.35542,0.40815,0.87051,0.97874,0.95206,0.976,0.95355,0.21612,0.25566,0.7911,0.000892928,0.000892928,0.000892928
