epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.07573,1.91159,4.71961,1.72086,0.0042,0.16667,0.02285,0.00927,1.3401,4.26101,1.61273,0.09901,1e-05,1e-05
2,1.41781,1.88554,4.68601,1.68449,0.00437,0.16667,0.01603,0.00668,1.36131,4.25362,1.61052,0.09703,2.99992e-05,2.99992e-05
3,1.71546,1.93336,4.68088,1.80531,0.00459,0.16667,0.01611,0.00672,1.36645,4.25509,1.62011,0.09505,4.99946e-05,4.99946e-05
4,2.00883,1.81293,4.64586,1.67644,0.00467,0.16667,0.01615,0.00674,1.37722,4.24584,1.62051,0.09307,6.99829e-05,6.99829e-05
5,2.29289,1.79293,4.66216,1.59082,0.00469,0.16667,0.01613,0.00673,1.3123,4.2382,1.58297,0.09109,8.99609e-05,8.99609e-05
6,2.57806,1.6836,4.63249,1.61521,0.00457,0.16667,0.0141,0.00591,1.27816,4.21961,1.55701,0.0891099,0.000109925,0.000109925
7,2.86547,1.80578,4.61325,1.66086,0.00463,0.16667,0.01267,0.0052,1.25422,4.2069,1.53819,0.0871299,0.000129873,0.000129873
8,3.15975,1.63001,4.52291,1.56775,0.00233,0.08333,0.00785,0.00314,1.20649,4.18753,1.50922,0.0851498,0.000149801,0.000149801
9,3.44294,1.68657,4.58803,1.5977,0.0023,0.08333,0.00921,0.00369,1.17739,4.1664,1.49135,0.0831697,0.000169705,0.000169705
10,3.73253,1.58374,4.53688,1.57151,0.00226,0.08333,0.0092,0.0046,1.15531,4.14664,1.48271,0.0811896,0.000189583,0.000189583
11,4.01088,1.65582,4.48117,1.61088,0.00225,0.08333,0.00729,0.00364,1.13861,4.12995,1.46077,0.0792094,0.000209431,0.000209431
12,4.29197,1.42355,4.45916,1.51574,0.00219,0.08333,0.00607,0.00364,1.12212,4.11406,1.44964,0.0772292,0.000229245,0.000229245
13,4.58051,1.67286,4.43954,1.66319,0.00216,0.08333,0.00778,0.00467,1.08165,4.09058,1.42049,0.075249,0.000249024,0.000249024
14,4.86093,1.46795,4.38736,1.45203,0.00429,0.16667,0.01593,0.00904,1.05034,4.06596,1.38586,0.0732688,0.000268763,0.000268763
15,5.14603,1.29715,4.32092,1.45617,0.006,0.25,0.0395,0.01873,1.01947,4.03434,1.35288,0.0712885,0.00028846,0.00028846
16,5.44004,1.7367,4.37541,1.60591,0.00598,0.25,0.04136,0.0189,0.99357,4.00893,1.32193,0.0693081,0.000308111,0.000308111
17,5.72407,1.49933,4.29455,1.48701,0.00803,0.33333,0.05954,0.02025,0.99037,3.99758,1.31141,0.0673277,0.000327712,0.000327712
18,6.00628,1.41764,4.24431,1.44272,0.00813,0.33333,0.04105,0.01895,0.96795,3.97658,1.29286,0.0653473,0.000347262,0.000347262
19,6.29795,1.36029,4.22553,1.39315,0.00617,0.25,0.04829,0.02637,0.98144,3.95018,1.27053,0.0633668,0.000366756,0.000366756
20,6.58859,1.35069,4.12438,1.43058,0.00607,0.25,0.03268,0.0178,0.99977,3.93335,1.27074,0.0613862,0.000386191,0.000386191
21,6.87549,1.32978,4.15166,1.38648,0.00417,0.16667,0.04338,0.0259,1.00999,3.90207,1.25902,0.0594056,0.000405565,0.000405565
22,7.15623,1.37261,4.10436,1.34812,0.00625,0.25,0.04516,0.02558,0.99421,3.875,1.25845,0.0574249,0.000424874,0.000424874
23,7.4468,1.24723,4.0377,1.41839,0.00214,0.08333,0.04214,0.02529,1.00008,3.85463,1.26003,0.0554441,0.000444115,0.000444115
24,7.74929,1.30456,3.99532,1.3871,0.00225,0.08333,0.04219,0.02532,0.98514,3.8333,1.25193,0.0534633,0.000463284,0.000463284
25,8.04567,1.34629,3.92763,1.3578,0.00222,0.08333,0.08343,0.05006,0.98703,3.80192,1.23753,0.0514824,0.00048238,0.00048238
26,8.3314,1.28811,3.91606,1.4134,0.00222,0.08333,0.08343,0.0584,0.97923,3.7899,1.24097,0.0495014,0.000501398,0.000501398
27,8.62397,1.20542,3.83817,1.37954,0.00442,0.16667,0.08479,0.05853,0.97455,3.77236,1.23587,0.0475203,0.000520336,0.000520336
28,8.90361,1.22046,3.81225,1.36142,0.00225,0.08333,0.08344,0.05841,0.97434,3.74676,1.23352,0.0455392,0.00053919,0.00053919
29,9.19568,1.35367,3.7899,1.44359,0.00646,0.25,0.08626,0.05233,0.97132,3.72246,1.22984,0.043558,0.000557958,0.000557958
30,9.47342,1.14473,3.76635,1.2853,0.01085,0.41667,0.08962,0.06124,0.98101,3.69995,1.23251,0.0415766,0.000576636,0.000576636
31,9.75079,1.29805,3.71168,1.38249,0.01489,0.58333,0.09485,0.06488,0.96556,3.68181,1.23208,0.0395952,0.000595222,0.000595222
32,10.0413,1.3298,3.63278,1.35992,0.01427,0.58333,0.13635,0.09792,0.96165,3.65284,1.22878,0.0376137,0.000613712,0.000613712
33,10.3357,1.23118,3.68736,1.39267,0.01263,0.58333,0.2075,0.14931,0.97037,3.61063,1.23233,0.0356321,0.000632103,0.000632103
34,10.6199,1.22043,3.59045,1.3621,0.01047,0.58333,0.28295,0.20746,0.94519,3.58136,1.22397,0.0336504,0.000650393,0.000650393
35,10.9002,1.32347,3.43968,1.37471,0.01256,0.75,0.37012,0.25582,0.9689,3.52848,1.20973,0.0316686,0.000668579,0.000668579
36,11.1731,1.16456,3.34133,1.34318,0.01363,0.83333,0.35142,0.24783,0.95677,3.473,1.19909,0.0296867,0.000686657,0.000686657
37,11.4512,1.34408,3.38771,1.43166,0.01521,0.91667,0.35251,0.24004,0.91066,3.43225,1.17646,0.0277046,0.000704625,0.000704625
38,11.7553,1.20148,3.28264,1.2989,0.01423,0.91667,0.36839,0.25519,0.88647,3.3787,1.16716,0.0257225,0.000722479,0.000722479
