epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.273,1.35797,2.68014,1.08277,0.37538,0.55498,0.4308,0.35859,1.19974,1.78425,1.00916,0.050538,0.000499617,0.000499617
2,313.968,1.20197,1.88107,1.0254,0.46895,0.61448,0.52754,0.44463,1.12874,1.54481,0.98482,0.00103181,0.000993464,0.000993464
3,473.203,1.17133,1.75815,1.01808,0.5941,0.72065,0.62463,0.51795,1.11744,1.45282,0.97899,0.000975531,0.000975531,0.000975531
4,632.326,1.1557,1.71214,1.01537,0.65402,0.73392,0.64659,0.5357,1.1205,1.44457,0.97564,0.000945509,0.000945509,0.000945509
5,791.968,1.14395,1.66431,1.01062,0.64528,0.74518,0.66355,0.55562,1.10614,1.40101,0.97333,0.000904518,0.000904518,0.000904518
6,949.396,1.13545,1.64922,1.0089,0.64969,0.75664,0.67279,0.56125,1.10507,1.38807,0.96999,0.000853568,0.000853568,0.000853568
7,1105.55,1.12819,1.6197,1.00698,0.64294,0.77305,0.66993,0.56027,1.09874,1.37854,0.96515,0.000793913,0.000793913,0.000793913
8,1261.12,1.12373,1.60074,1.00444,0.67074,0.7665,0.68553,0.57508,1.08819,1.35476,0.96458,0.000727023,0.000727023,0.000727023
9,1413.93,1.10778,1.58522,1.00041,0.69123,0.75865,0.68859,0.57681,1.08303,1.33994,0.96249,0.000654543,0.000654543,0.000654543
10,1568.16,1.11049,1.56588,1.00137,0.63418,0.80712,0.68679,0.57516,1.07599,1.32497,0.95999,0.000578259,0.000578259,0.000578259
11,1746.79,1.02228,1.3107,0.96313,0.64472,0.79713,0.69109,0.58169,1.06708,1.31674,0.9599,0.00050005,0.00050005,0.00050005
12,1899.93,1.00498,1.28463,0.95801,0.68077,0.78926,0.70916,0.59873,1.05644,1.29111,0.95576,0.000421841,0.000421841,0.000421841
13,2048.34,0.9892,1.25989,0.95413,0.6896,0.78359,0.72349,0.6112,1.0487,1.27368,0.95607,0.000345557,0.000345557,0.000345557
14,2202.84,0.98562,1.24385,0.95364,0.6768,0.78613,0.72062,0.61031,1.0457,1.26469,0.95413,0.000273077,0.000273077,0.000273077
