epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.245,1.25801,0.05256,0.17948,1.16215,1.34438,0.90109,0.80783,0.86445,0.61896,0.45305,0.38293,0.42138,0.41885,1.16153,0.05119,0.0716,1.07139,1.33239,0.0700228,0.00333079,0.00333079
2,299.631,1.13748,0.04308,0.14459,0.9775,1.29186,0.92739,0.83328,0.8821,0.65729,0.46716,0.39088,0.42751,0.42586,1.03379,0.04482,0.05129,0.8066,1.27933,0.0399569,0.00659815,0.00659815
3,437.115,1.05571,0.04014,0.13012,0.8927,1.25026,0.94649,0.84052,0.89457,0.67354,0.47332,0.39848,0.43623,0.43395,0.98078,0.03909,0.04491,0.74304,1.24078,0.0098249,0.00979951,0.00979951
4,573.182,0.99329,0.03541,0.12143,0.81754,1.21256,0.94836,0.85341,0.9026,0.70647,0.47465,0.40485,0.44124,0.43941,0.87683,0.03267,0.03736,0.67531,1.17739,0.009703,0.009703,0.009703
5,696.904,0.95005,0.03452,0.11228,0.77539,1.18495,0.95294,0.85671,0.91029,0.72262,0.47806,0.40867,0.44373,0.44247,0.85968,0.0336,0.03607,0.62502,1.15853,0.009604,0.009604,0.009604
6,832.868,0.91578,0.03244,0.10781,0.74824,1.16538,0.94838,0.85321,0.90688,0.72499,0.47683,0.41028,0.44562,0.44392,0.8295,0.02912,0.03048,0.6315,1.13704,0.009505,0.009505,0.009505
7,962.558,0.89259,0.03127,0.10643,0.72516,1.15404,0.96246,0.87163,0.9171,0.73978,0.48169,0.41689,0.4497,0.44778,0.81772,0.02753,0.03531,0.5837,1.13151,0.009406,0.009406,0.009406
8,1087.39,0.87349,0.02892,0.10093,0.7063,1.14033,0.9595,0.85975,0.91654,0.74544,0.48711,0.41199,0.45201,0.45031,0.7804,0.02605,0.02528,0.56677,1.1105,0.009307,0.009307,0.009307
9,1215.16,0.85038,0.0282,0.09638,0.68223,1.12928,0.96427,0.87127,0.92214,0.75961,0.48265,0.41984,0.45483,0.45325,0.74204,0.02719,0.02307,0.52847,1.08845,0.009208,0.009208,0.009208
10,1340.39,0.83977,0.0276,0.09646,0.67439,1.12152,0.96001,0.87205,0.92246,0.76394,0.48503,0.42225,0.45404,0.45276,0.73444,0.02395,0.02116,0.52484,1.08295,0.009109,0.009109,0.009109
11,1466.12,0.82408,0.02714,0.09433,0.65998,1.11352,0.96278,0.87192,0.92359,0.77237,0.48355,0.42332,0.45503,0.45354,0.7214,0.02301,0.01982,0.51258,1.07324,0.00901,0.00901,0.00901
12,1593.01,0.8146,0.02615,0.09298,0.64974,1.1072,0.96045,0.8795,0.92499,0.7723,0.48416,0.42529,0.45737,0.45548,0.70863,0.02262,0.01709,0.51238,1.06558,0.008911,0.008911,0.008911
13,1717.82,0.80277,0.02478,0.08917,0.6412,1.1003,0.96483,0.88011,0.92811,0.78103,0.48677,0.424,0.45725,0.45587,0.69522,0.02202,0.01723,0.49611,1.06012,0.008812,0.008812,0.008812
14,1844.86,0.79573,0.02461,0.09024,0.6338,1.09668,0.95933,0.88227,0.92785,0.78394,0.48683,0.42189,0.45653,0.45514,0.68166,0.02128,0.01518,0.49027,1.05325,0.008713,0.008713,0.008713
15,1968.12,0.78555,0.02398,0.08841,0.62617,1.09116,0.96433,0.88293,0.92851,0.78459,0.48398,0.4239,0.45584,0.4547,0.68138,0.02097,0.01862,0.48083,1.04938,0.008614,0.008614,0.008614
16,2090.56,0.77785,0.02322,0.08914,0.61896,1.08611,0.9684,0.88043,0.93023,0.79056,0.4846,0.42627,0.45775,0.45652,0.66836,0.01954,0.01351,0.47567,1.03573,0.008515,0.008515,0.008515
17,2213.87,0.77322,0.02343,0.08752,0.61573,1.08075,0.95733,0.88644,0.92953,0.79222,0.48231,0.42618,0.45786,0.45649,0.65714,0.01882,0.0159,0.4707,1.03439,0.008416,0.008416,0.008416
18,2337,0.76479,0.02173,0.08491,0.60523,1.07612,0.96733,0.8868,0.93245,0.79703,0.48634,0.42636,0.4586,0.45741,0.64418,0.01796,0.012,0.45438,1.02015,0.008317,0.008317,0.008317
19,2460.33,0.75978,0.02053,0.08288,0.60443,1.07226,0.96742,0.88789,0.93322,0.80072,0.4839,0.42895,0.45856,0.45759,0.64104,0.01764,0.01466,0.45141,1.02137,0.008218,0.008218,0.008218
20,2583.22,0.75755,0.02075,0.08114,0.60194,1.07034,0.96985,0.88159,0.93301,0.79935,0.48042,0.43226,0.45989,0.45878,0.63242,0.01675,0.0134,0.45157,1.01967,0.008119,0.008119,0.008119
21,2706.47,0.75118,0.02062,0.08255,0.59461,1.07008,0.96523,0.88813,0.93408,0.80356,0.48394,0.43092,0.45922,0.45815,0.6285,0.01658,0.01284,0.447,1.01679,0.00802,0.00802,0.00802
22,2829.46,0.74311,0.02111,0.08263,0.59145,1.06495,0.96981,0.8889,0.93394,0.80558,0.48376,0.42994,0.45898,0.45788,0.62343,0.01586,0.0125,0.43901,1.00993,0.007921,0.007921,0.007921
