epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.656,1.07238,0.29736,0.20824,1.02893,1.25778,0.92287,0.81503,0.88021,0.67475,0.45002,0.38221,0.42295,0.40621,0.92732,0.20855,0.06466,0.74366,1.09038,0.0802151,0.000199848,0.000199848
2,350.299,0.94147,0.1993,0.10572,0.78303,1.15338,0.93335,0.82928,0.89604,0.68768,0.47132,0.4008,0.43704,0.43,0.91431,0.16238,0.04024,0.70964,1.08447,0.0604124,0.000397209,0.000397209
3,512.928,0.90579,0.17799,0.09597,0.76197,1.13646,0.95496,0.85658,0.91277,0.72625,0.48257,0.41439,0.44667,0.43963,0.81744,0.15172,0.03658,0.60871,1.03511,0.0406072,0.00059193,0.00059193
4,674.439,0.8724,0.15891,0.08955,0.72051,1.11276,0.96174,0.86118,0.91791,0.73414,0.47964,0.41376,0.44597,0.44034,0.80306,0.14025,0.02793,0.58471,1.02262,0.0207992,0.000784011,0.000784011
5,834.492,0.83993,0.15172,0.08739,0.68574,1.09389,0.96116,0.86766,0.91764,0.7486,0.47951,0.41689,0.44798,0.44163,0.76641,0.12764,0.02718,0.55972,0.99651,0.000988684,0.000973452,0.000973452
1,174.04,1.07238,0.29736,0.20824,1.02893,1.25778,0.92287,0.81503,0.88021,0.67475,0.45002,0.38221,0.42295,0.40621,0.92732,0.20855,0.06466,0.74366,1.09038,0.0802151,0.000199848,0.000199848
2,334.849,0.94147,0.1993,0.10572,0.78303,1.15338,0.93335,0.82928,0.89604,0.68768,0.47132,0.4008,0.43704,0.43,0.91431,0.16238,0.04024,0.70964,1.08447,0.0604124,0.000397209,0.000397209
3,492.05,0.90579,0.17799,0.09597,0.76197,1.13646,0.95496,0.85658,0.91277,0.72625,0.48257,0.41439,0.44667,0.43963,0.81744,0.15172,0.03658,0.60871,1.03511,0.0406072,0.00059193,0.00059193
4,649.362,0.8724,0.15891,0.08955,0.72051,1.11276,0.96174,0.86118,0.91791,0.73414,0.47964,0.41376,0.44597,0.44034,0.80306,0.14025,0.02793,0.58471,1.02262,0.0207992,0.000784011,0.000784011
5,803.979,0.83993,0.15172,0.08739,0.68574,1.09389,0.96116,0.86766,0.91764,0.7486,0.47951,0.41689,0.44798,0.44163,0.76641,0.12764,0.02718,0.55972,0.99651,0.000988684,0.000973452,0.000973452
