epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.045,1.9364,2.50176,1.94745,0.84554,0.34234,0.36467,0.22239,1.80546,2.64638,1.83283,0.0700478,0.00332803,0.00332803
2,154.3,1.79222,2.28964,1.8396,0.40706,0.47907,0.46331,0.2914,1.68352,1.83588,1.74483,0.0400476,0.00666118,0.00666118
3,202.765,1.68323,2.15464,1.75831,0.96457,0.41273,0.48005,0.34049,1.44229,1.57602,1.52571,0.0100467,0.00999361,0.00999361
4,247.866,1.6142,2.03382,1.70568,0.49455,0.52381,0.55211,0.38943,1.27517,1.3575,1.43873,0.00999756,0.00999756,0.00999756
5,296.031,1.54157,1.95263,1.66188,0.95222,0.40564,0.51993,0.37714,1.24756,1.39771,1.37824,0.00999566,0.00999566,0.00999566
6,347.23,1.49329,1.89619,1.62797,0.52632,0.57767,0.55405,0.40536,1.18376,1.23267,1.29543,0.00999322,0.00999322,0.00999322
7,394.837,1.45928,1.84803,1.60562,0.45119,0.61698,0.55362,0.40909,1.15916,1.16645,1.28184,0.00999023,0.00999023,0.00999023
8,437.891,1.44479,1.81794,1.58898,0.97474,0.44736,0.57438,0.42964,1.07759,1.14802,1.26698,0.00998671,0.00998671,0.00998671
9,481.232,1.41063,1.76968,1.56961,0.51351,0.61414,0.58775,0.43827,1.07627,1.09493,1.25436,0.00998264,0.00998264,0.00998264
10,523.995,1.37848,1.75819,1.54895,0.4926,0.62724,0.59598,0.44033,1.06195,1.06771,1.18951,0.00997803,0.00997803,0.00997803
11,567.068,1.37255,1.74315,1.54016,0.5806,0.61634,0.61061,0.45787,1.03695,1.03505,1.21542,0.00997288,0.00997288,0.00997288
12,610.193,1.35416,1.71444,1.52843,0.51714,0.63597,0.60063,0.44863,1.08099,1.08758,1.21833,0.0099672,0.0099672,0.0099672
13,653.416,1.33616,1.70089,1.5234,0.58581,0.65778,0.6238,0.46559,0.9702,1.01531,1.16311,0.00996097,0.00996097,0.00996097
14,701.382,1.3211,1.67697,1.50704,0.5846,0.64007,0.62487,0.47431,0.93225,0.96742,1.14737,0.0099542,0.0099542,0.0099542
15,753.061,1.31343,1.65988,1.5048,0.58002,0.67628,0.63862,0.47008,0.94868,1.01077,1.1532,0.0099469,0.0099469,0.0099469
16,804.184,1.31235,1.67266,1.50594,0.62398,0.64506,0.64324,0.47364,0.95781,0.98091,1.13606,0.00993906,0.00993906,0.00993906
17,853.017,1.29561,1.64437,1.49072,0.61113,0.62756,0.6254,0.47683,0.90892,0.92182,1.10682,0.00993068,0.00993068,0.00993068
18,906.043,1.29455,1.63319,1.49394,0.58389,0.66173,0.63252,0.48814,0.89127,0.89071,1.07881,0.00992177,0.00992177,0.00992177
19,957.398,1.27975,1.61855,1.48291,0.63717,0.66322,0.65414,0.50033,0.88943,0.90722,1.09876,0.00991232,0.00991232,0.00991232
20,1008.21,1.27428,1.6065,1.47699,0.6316,0.65188,0.65157,0.49917,0.88523,0.89899,1.07074,0.00990234,0.00990234,0.00990234
21,1058,1.26873,1.61467,1.479,0.71092,0.6702,0.68497,0.50688,0.92962,0.87282,1.11438,0.00989183,0.00989183,0.00989183
22,1107.68,1.25345,1.57165,1.46258,0.68548,0.69226,0.67428,0.51022,0.9007,0.8745,1.09173,0.00988079,0.00988079,0.00988079
23,1158.29,1.24909,1.57233,1.45798,0.66027,0.65229,0.66209,0.50953,0.88114,0.86768,1.07972,0.00986922,0.00986922,0.00986922
24,1205.7,1.23732,1.57384,1.45785,0.73977,0.66858,0.70144,0.53725,0.83877,0.83605,1.06203,0.00985711,0.00985711,0.00985711
25,1250.01,1.23626,1.56037,1.45252,0.72876,0.69734,0.70628,0.54069,0.84333,0.80685,1.05815,0.00984449,0.00984449,0.00984449
26,1294.5,1.23162,1.56077,1.4499,0.72554,0.6866,0.70863,0.53889,0.83665,0.79762,1.04135,0.00983133,0.00983133,0.00983133
27,1341.78,1.23071,1.53493,1.45119,0.74145,0.69401,0.72503,0.54601,0.84398,0.82516,1.08122,0.00981765,0.00981765,0.00981765
28,1391.06,1.21158,1.52632,1.43353,0.78575,0.68951,0.7445,0.55376,0.85039,0.78491,1.05921,0.00980345,0.00980345,0.00980345
29,1436.61,1.2068,1.51544,1.42843,0.74086,0.68827,0.72532,0.55461,0.82597,0.79403,1.04192,0.00978873,0.00978873,0.00978873
30,1487.68,1.20837,1.51743,1.43473,0.72246,0.6967,0.71476,0.55762,0.80681,0.77108,1.03483,0.00977349,0.00977349,0.00977349
31,1540.07,1.20509,1.52451,1.43154,0.77211,0.69378,0.73873,0.56455,0.79349,0.76477,1.00974,0.00975773,0.00975773,0.00975773
32,1591.73,1.20338,1.50946,1.43386,0.75435,0.71439,0.74861,0.57229,0.80398,0.79108,1.02933,0.00974145,0.00974145,0.00974145
33,1643.61,1.18785,1.50298,1.42424,0.78326,0.69839,0.75691,0.58014,0.77698,0.74098,1.0111,0.00972466,0.00972466,0.00972466
34,1693.43,1.19076,1.48516,1.42302,0.76177,0.71585,0.75518,0.5851,0.7604,0.74052,0.99963,0.00970736,0.00970736,0.00970736
35,1743.43,1.19155,1.48687,1.42389,0.7844,0.72142,0.76565,0.57829,0.77327,0.74261,1.01069,0.00968955,0.00968955,0.00968955
36,1793.37,1.18038,1.47816,1.41552,0.79133,0.7127,0.7746,0.59107,0.75568,0.72526,0.99353,0.00967122,0.00967122,0.00967122
37,1843.61,1.18048,1.47143,1.41456,0.81066,0.72827,0.77942,0.59481,0.76714,0.72601,0.99387,0.00965239,0.00965239,0.00965239
38,1893.7,1.16864,1.46716,1.40862,0.79228,0.74251,0.77327,0.59366,0.75185,0.70162,0.98715,0.00963306,0.00963306,0.00963306
39,1943.56,1.16634,1.46174,1.40443,0.82619,0.73111,0.78796,0.60501,0.74934,0.68797,0.98888,0.00961322,0.00961322,0.00961322
40,1993.72,1.16658,1.45841,1.40714,0.81523,0.73604,0.79237,0.61977,0.73233,0.68517,0.99149,0.00959289,0.00959289,0.00959289
41,2043.72,1.17002,1.45954,1.40334,0.80176,0.74488,0.78302,0.60612,0.72453,0.68989,0.98787,0.00957205,0.00957205,0.00957205
42,2096.21,1.15296,1.44513,1.39669,0.80438,0.74202,0.79077,0.61772,0.74461,0.69475,0.9944,0.00955072,0.00955072,0.00955072
43,2150.04,1.15213,1.43905,1.39674,0.78827,0.74552,0.7914,0.61026,0.74817,0.69236,1.00033,0.00952889,0.00952889,0.00952889
44,2202.96,1.15467,1.43958,1.40142,0.82522,0.75487,0.80927,0.62812,0.72769,0.67422,0.98529,0.00950658,0.00950658,0.00950658
45,2254.67,1.14033,1.42149,1.38923,0.82227,0.74816,0.80476,0.62814,0.70256,0.66369,0.96636,0.00948377,0.00948377,0.00948377
46,2308.19,1.13652,1.42376,1.38561,0.81278,0.76543,0.80027,0.63252,0.69879,0.65902,0.96326,0.00946048,0.00946048,0.00946048
47,2361.63,1.13745,1.42442,1.38468,0.8156,0.76594,0.81088,0.62995,0.71217,0.65646,0.97952,0.00943671,0.00943671,0.00943671
48,2413.85,1.13846,1.42511,1.38836,0.81974,0.75394,0.8086,0.62406,0.71411,0.66057,0.9754,0.00941245,0.00941245,0.00941245
49,2464.94,1.13644,1.43123,1.38549,0.81997,0.75121,0.80113,0.62821,0.70329,0.65319,0.96746,0.00938772,0.00938772,0.00938772
50,2516.5,1.1245,1.40538,1.37684,0.84281,0.75417,0.81452,0.63994,0.69515,0.64155,0.96409,0.00936251,0.00936251,0.00936251
51,2567.03,1.13314,1.41103,1.38515,0.83796,0.76449,0.82436,0.64966,0.69587,0.63573,0.96161,0.00933683,0.00933683,0.00933683
52,2617.41,1.12864,1.41402,1.37706,0.83581,0.76455,0.81896,0.64232,0.69809,0.64219,0.96141,0.00931067,0.00931067,0.00931067
53,2667.63,1.11931,1.39877,1.37446,0.84484,0.76616,0.82847,0.65474,0.6797,0.62798,0.94731,0.00928405,0.00928405,0.00928405
54,2717.54,1.11945,1.39891,1.37561,0.85363,0.76509,0.83012,0.65591,0.68628,0.6224,0.94401,0.00925697,0.00925697,0.00925697
55,2767.26,1.11402,1.39372,1.37269,0.8408,0.76421,0.82272,0.6572,0.66981,0.62147,0.93768,0.00922942,0.00922942,0.00922942
56,2811.68,1.11814,1.39748,1.37349,0.83925,0.76277,0.82224,0.65317,0.66968,0.62625,0.93938,0.00920142,0.00920142,0.00920142
57,2856.9,1.10964,1.37877,1.36878,0.85215,0.77404,0.83022,0.65738,0.66466,0.61806,0.93914,0.00917296,0.00917296,0.00917296
58,2907.25,1.10753,1.37926,1.36696,0.84587,0.76677,0.82584,0.65353,0.66842,0.62294,0.94246,0.00914405,0.00914405,0.00914405
59,2957.39,1.10405,1.38281,1.36681,0.84291,0.77728,0.8332,0.66093,0.6708,0.62129,0.94117,0.00911469,0.00911469,0.00911469
60,3005.8,1.10374,1.3802,1.36419,0.83889,0.78097,0.83575,0.66308,0.66964,0.62492,0.94091,0.00908488,0.00908488,0.00908488
61,3049.33,1.10587,1.37896,1.3646,0.84124,0.78858,0.83517,0.66663,0.65501,0.61694,0.93518,0.00905463,0.00905463,0.00905463
62,3092.64,1.09464,1.34904,1.35275,0.85209,0.78111,0.83786,0.67216,0.64685,0.60543,0.92632,0.00902395,0.00902395,0.00902395
63,3136.06,1.09382,1.36639,1.35838,0.8638,0.77879,0.84193,0.67349,0.64907,0.6003,0.9298,0.00899282,0.00899282,0.00899282
64,3179.87,1.09594,1.36284,1.36151,0.85335,0.77646,0.83795,0.67299,0.64304,0.59822,0.92275,0.00896127,0.00896127,0.00896127
65,3222.8,1.09806,1.36266,1.36047,0.85833,0.77314,0.83742,0.67396,0.63872,0.59089,0.91879,0.00892928,0.00892928,0.00892928
66,3270.16,1.09379,1.35215,1.35849,0.86037,0.77659,0.84194,0.67523,0.64054,0.58826,0.92171,0.00889687,0.00889687,0.00889687
67,3321.43,1.07978,1.34061,1.34698,0.86704,0.77896,0.84724,0.68059,0.63638,0.58756,0.91791,0.00886404,0.00886404,0.00886404
68,3371.73,1.08306,1.36037,1.35202,0.85677,0.7802,0.84543,0.6807,0.63791,0.5904,0.91908,0.00883079,0.00883079,0.00883079
69,3421.87,1.07659,1.33955,1.34801,0.85638,0.78569,0.84627,0.68309,0.63245,0.58279,0.91517,0.00879713,0.00879713,0.00879713
70,3473.03,1.08179,1.34074,1.34786,0.86886,0.78454,0.84493,0.68499,0.62728,0.57802,0.91133,0.00876305,0.00876305,0.00876305
71,3523.27,1.07977,1.34646,1.34946,0.87763,0.7869,0.8497,0.6888,0.62278,0.57499,0.90607,0.00872857,0.00872857,0.00872857
72,3567.51,1.08442,1.34394,1.35344,0.89284,0.78466,0.8526,0.68936,0.6254,0.57509,0.90873,0.00869368,0.00869368,0.00869368
73,3614.35,1.07486,1.34407,1.34689,0.88315,0.78887,0.85275,0.69107,0.62124,0.57137,0.90428,0.00865839,0.00865839,0.00865839
74,3660.73,1.08139,1.34083,1.34817,0.8884,0.78362,0.8542,0.69568,0.61355,0.56603,0.89895,0.00862271,0.00862271,0.00862271
75,3706.42,1.06927,1.32858,1.34148,0.88668,0.78488,0.85664,0.6963,0.61456,0.56152,0.89978,0.00858664,0.00858664,0.00858664
76,3750.61,1.07019,1.32273,1.33762,0.89619,0.78699,0.85954,0.69687,0.61347,0.55853,0.89878,0.00855018,0.00855018,0.00855018
77,3794.7,1.0629,1.31822,1.33844,0.89655,0.78818,0.8602,0.69762,0.61015,0.55636,0.89636,0.00851333,0.00851333,0.00851333
78,3839.4,1.07069,1.32215,1.34056,0.90297,0.78826,0.86113,0.69872,0.60709,0.55423,0.89592,0.00847611,0.00847611,0.00847611
79,3884.38,1.05635,1.30293,1.3322,0.8989,0.78846,0.86035,0.69894,0.60538,0.55174,0.89486,0.00843851,0.00843851,0.00843851
80,3927.66,1.06006,1.30437,1.33328,0.89878,0.78831,0.85976,0.6976,0.60445,0.55007,0.89441,0.00840054,0.00840054,0.00840054
81,3970.94,1.06282,1.31623,1.33615,0.89935,0.78732,0.85959,0.69949,0.60364,0.54673,0.89495,0.0083622,0.0083622,0.0083622
82,4015.58,1.06297,1.30669,1.33427,0.89356,0.78658,0.86085,0.69985,0.60214,0.54479,0.89364,0.00832349,0.00832349,0.00832349
83,4059.72,1.06387,1.31353,1.33554,0.89362,0.79079,0.86245,0.70191,0.60102,0.54477,0.89292,0.00828443,0.00828443,0.00828443
84,4105.65,1.05845,1.31065,1.33126,0.89864,0.79121,0.86133,0.70026,0.60365,0.54603,0.893,0.00824502,0.00824502,0.00824502
85,4148.64,1.05215,1.29527,1.32697,0.8922,0.79164,0.86139,0.70171,0.60355,0.54666,0.89269,0.00820525,0.00820525,0.00820525
