epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.149,1.19093,1.08778,1.31673,0.82224,0.74756,0.80093,0.53651,1.25483,1.23285,1.44233,0.0700459,0.00332824,0.00332824
2,303.543,1.08475,0.90886,1.26849,0.90833,0.82837,0.88219,0.66239,0.98168,0.74477,1.25655,0.039826,0.00644174,0.00644174
3,449.961,1.0049,0.81991,1.22029,0.93891,0.83916,0.89585,0.68581,0.93738,0.69717,1.2453,0.00938621,0.00933524,0.00933524
1,240.351,1.19093,1.08778,1.31673,0.82224,0.74756,0.80093,0.53651,1.25483,1.23285,1.44233,0.0700459,0.00332824,0.00332824
2,423.614,1.08475,0.90886,1.26849,0.90833,0.82837,0.88219,0.66239,0.98168,0.74477,1.25655,0.039826,0.00644174,0.00644174
3,570.335,1.0049,0.81991,1.22029,0.93891,0.83916,0.89585,0.68581,0.93738,0.69717,1.2453,0.00938621,0.00933524,0.00933524
4,718.559,0.94725,0.76324,1.18878,0.9529,0.84647,0.90581,0.70504,0.87844,0.6329,1.1985,0.00901,0.00901,0.00901
5,866.889,0.89943,0.72027,1.1614,0.95833,0.8661,0.9139,0.73331,0.80606,0.58666,1.1454,0.00868,0.00868,0.00868
6,1014.58,0.86418,0.68537,1.13965,0.96332,0.86335,0.91751,0.74313,0.78865,0.55953,1.12596,0.00835,0.00835,0.00835
7,1155.44,0.83286,0.66061,1.12047,0.95018,0.8772,0.91991,0.74936,0.75593,0.53848,1.11066,0.00802,0.00802,0.00802
8,1301.86,0.80483,0.63744,1.10784,0.95216,0.87475,0.92147,0.75612,0.73791,0.52068,1.10413,0.00769,0.00769,0.00769
9,1443.61,0.79452,0.62533,1.10039,0.96722,0.86664,0.92226,0.76475,0.71899,0.50985,1.09402,0.00736,0.00736,0.00736
10,1587.63,0.77394,0.60867,1.0877,0.96538,0.88281,0.92673,0.77519,0.6999,0.48106,1.07893,0.00703,0.00703,0.00703
11,1736.6,0.75926,0.59133,1.07976,0.9617,0.87746,0.92699,0.77826,0.67303,0.48328,1.05833,0.0067,0.0067,0.0067
12,1885.95,0.74591,0.59026,1.07175,0.97189,0.87809,0.92952,0.78619,0.66125,0.46332,1.05126,0.00637,0.00637,0.00637
13,2033.47,0.73265,0.57945,1.06687,0.96492,0.88779,0.93058,0.79005,0.64311,0.4558,1.04478,0.00604,0.00604,0.00604
14,2180.99,0.71868,0.56635,1.05974,0.96932,0.88604,0.93085,0.7956,0.63426,0.4481,1.04317,0.00571,0.00571,0.00571
15,2326.3,0.70679,0.56219,1.05297,0.96435,0.8873,0.93189,0.79948,0.61595,0.44298,1.02381,0.00538,0.00538,0.00538
16,2471.17,0.696,0.54987,1.04669,0.96709,0.88875,0.93352,0.80513,0.60826,0.43179,1.02233,0.00505,0.00505,0.00505
17,2614.96,0.68289,0.53813,1.03928,0.96975,0.89071,0.93572,0.81282,0.58886,0.41851,1.01071,0.00472,0.00472,0.00472
18,2758.18,0.67408,0.53565,1.03781,0.97313,0.89227,0.93621,0.8134,0.58899,0.41404,1.00752,0.00439,0.00439,0.00439
19,2904.43,0.66733,0.52374,1.03281,0.97052,0.89286,0.93687,0.81596,0.57921,0.40555,1.00504,0.00406,0.00406,0.00406
20,3049.73,0.65437,0.51593,1.0254,0.97321,0.89124,0.93728,0.81804,0.57779,0.40154,0.99776,0.00373,0.00373,0.00373
21,3213.55,0.6197,0.43687,1.01104,0.97198,0.89375,0.93802,0.81878,0.56957,0.40264,0.9992,0.0034,0.0034,0.0034
22,3360.72,0.60749,0.42861,1.00272,0.97115,0.89745,0.9388,0.82428,0.55601,0.39626,0.98465,0.00307,0.00307,0.00307
23,3505.08,0.59493,0.41852,0.99361,0.97511,0.89739,0.94006,0.82763,0.55014,0.38862,0.98356,0.00274,0.00274,0.00274
24,3652.33,0.58124,0.40879,0.99094,0.97544,0.89747,0.94117,0.83013,0.54351,0.38384,0.98291,0.00241,0.00241,0.00241
25,3796.68,0.57275,0.40301,0.98595,0.97758,0.89913,0.94196,0.83362,0.53613,0.37533,0.97601,0.00208,0.00208,0.00208
26,3940.64,0.56099,0.39627,0.98071,0.98042,0.89577,0.94288,0.83477,0.52936,0.37483,0.97148,0.00175,0.00175,0.00175
27,4084.36,0.55353,0.38776,0.97677,0.97578,0.90008,0.94329,0.8362,0.52586,0.36969,0.96948,0.00142,0.00142,0.00142
28,4227.34,0.54277,0.38353,0.96952,0.97769,0.8972,0.94442,0.83722,0.52133,0.36795,0.96361,0.00109,0.00109,0.00109
29,4373.25,0.53486,0.37893,0.96803,0.97722,0.90285,0.94498,0.83904,0.51792,0.36521,0.96238,0.00076,0.00076,0.00076
30,4518.22,0.52268,0.37083,0.96235,0.97708,0.90252,0.94467,0.83931,0.5163,0.36237,0.96071,0.00043,0.00043,0.00043
