epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.894,1.87307,3.96422,1.62309,0.23023,0.22737,0.11594,0.09643,1.70636,3.15299,1.42015,0.00332394,0.00332394,0.00332394
2,179.07,1.71419,2.90013,1.44421,0.45508,0.22138,0.18942,0.15343,1.84486,3.26718,1.68862,0.00662432,0.00662432,0.00662432
3,268.121,1.70441,2.70227,1.43152,0.61678,0.2504,0.2415,0.20126,1.60714,2.71554,1.46037,0.0098917,0.0098917,0.0098917
4,356.746,1.67543,2.62576,1.41154,0.64104,0.24597,0.23856,0.20089,1.58989,2.71572,1.40511,0.0098515,0.0098515,0.0098515
5,445.587,1.62626,2.54274,1.38653,0.81265,0.26042,0.26818,0.22849,1.51291,2.49455,1.33222,0.009802,0.009802,0.009802
6,532.555,1.5812,2.47915,1.36624,0.79861,0.2704,0.27678,0.23917,1.45866,2.40047,1.2856,0.0097525,0.0097525,0.0097525
7,622.846,1.56071,2.45935,1.36951,0.76129,0.26429,0.27719,0.24364,1.42068,2.43268,1.28695,0.009703,0.009703,0.009703
8,711.548,1.54451,2.44616,1.36209,0.84548,0.2691,0.27667,0.24383,1.39742,2.38843,1.30123,0.0096535,0.0096535,0.0096535
9,803.842,1.50048,2.3828,1.34288,0.80639,0.27638,0.27834,0.24871,1.39589,2.3255,1.26252,0.009604,0.009604,0.009604
10,890.602,1.4914,2.34527,1.33129,0.83038,0.27661,0.28181,0.2516,1.372,2.33172,1.29722,0.0095545,0.0095545,0.0095545
11,978.707,1.4783,2.34447,1.33581,0.85731,0.27985,0.28938,0.26073,1.33285,2.26212,1.25502,0.009505,0.009505,0.009505
12,1066.98,1.4682,2.335,1.33313,0.85584,0.2754,0.28443,0.25655,1.34611,2.23049,1.23955,0.0094555,0.0094555,0.0094555
13,1154.29,1.45611,2.31405,1.32871,0.83405,0.27691,0.28723,0.26344,1.34083,2.24144,1.25536,0.009406,0.009406,0.009406
14,1243.02,1.45623,2.30778,1.32732,0.75818,0.26651,0.26465,0.23913,1.32811,2.34808,1.23073,0.0093565,0.0093565,0.0093565
15,1331.48,1.44109,2.29988,1.32422,0.88823,0.27757,0.29104,0.26662,1.30998,2.18235,1.22411,0.009307,0.009307,0.009307
16,1420.75,1.42531,2.27328,1.3147,0.86327,0.27865,0.28645,0.2599,1.31307,2.16979,1.21895,0.0092575,0.0092575,0.0092575
17,1511.65,1.42176,2.27515,1.31161,0.85223,0.28523,0.29222,0.26799,1.3022,2.16594,1.21056,0.009208,0.009208,0.009208
18,1610.98,1.42221,2.26439,1.31372,0.74392,0.27932,0.28044,0.2572,1.32037,2.26347,1.24481,0.0091585,0.0091585,0.0091585
19,1729.97,1.40061,2.23493,1.30302,0.86877,0.28092,0.29175,0.27085,1.28884,2.16252,1.242,0.009109,0.009109,0.009109
20,1849.66,1.39509,2.23826,1.30409,0.85824,0.28418,0.28953,0.26644,1.29677,2.18023,1.22582,0.0090595,0.0090595,0.0090595
21,1967.56,1.38896,2.23557,1.30316,0.87825,0.28072,0.28954,0.26853,1.27292,2.1545,1.21949,0.00901,0.00901,0.00901
22,2083.78,1.3928,2.23258,1.30047,0.86426,0.28342,0.29008,0.27034,1.29042,2.16437,1.23335,0.0089605,0.0089605,0.0089605
