epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.29096,4.73267,4.57565,4.35892,0.00147,0.07692,0.00094,9e-05,4.07094,4.3882,4.15954,3.334e-05,3.334e-05,3.334e-05
2,6.38341,5.69376,4.62314,4.25673,0.0015,0.07692,0.00096,0.0001,4.07188,4.38822,4.15991,8.25248e-05,8.25248e-05,8.25248e-05
3,9.07815,4.70291,4.64189,4.29247,0.00147,0.07692,0.00091,9e-05,4.0723,4.38901,4.15995,0.000130719,0.000130719,0.000130719
4,11.7157,5.41301,4.45537,4.21941,0,0,0,0,4.07239,4.39101,4.15966,0.000177924,0.000177924,0.000177924
5,14.6869,5.76896,4.58256,4.22818,0.00154,0.07692,0.00097,0.0001,4.07163,4.39335,4.1588,0.000224138,0.000224138,0.000224138
6,17.5267,4.87014,4.28143,4.23477,0.00145,0.07692,0.00091,9e-05,4.07004,4.39344,4.15764,0.000269362,0.000269362,0.000269362
7,20.33,4.16959,4.14749,4.22683,0,0,0,0,4.06735,4.39337,4.15555,0.000313596,0.000313596,0.000313596
8,23.4805,4.51987,3.8754,4.20022,0,0,0,0,4.06526,4.39215,4.154,0.00035684,0.00035684,0.00035684
9,26.1964,5.04153,3.96429,4.16241,0.00139,0.07692,0.00085,9e-05,4.05957,4.38812,4.15012,0.000399093,0.000399093,0.000399093
10,28.9593,4.70859,3.29748,4.05346,0.00141,0.07692,0.00086,9e-05,4.05611,4.38602,4.14786,0.000440356,0.000440356,0.000440356
11,31.6673,4.45386,3.38468,4.00028,0,0,0,0,4.04704,4.37749,4.1424,0.000480629,0.000480629,0.000480629
12,34.3443,4.2918,3.16311,3.99524,0.00139,0.07692,0.00084,8e-05,4.04187,4.37245,4.13944,0.000519912,0.000519912,0.000519912
13,37.0113,3.72601,3.34985,4.0502,0.00139,0.07692,0.00082,8e-05,4.03564,4.3692,4.1355,0.000558205,0.000558205,0.000558205
14,39.7027,3.81912,2.85549,3.86823,0,0,0,0,4.03569,4.36904,4.13457,0.000595507,0.000595507,0.000595507
15,42.3695,3.55494,2.87175,3.50113,0,0,0,0,4.03659,4.36012,4.13351,0.00063182,0.00063182,0.00063182
16,45.3025,3.37842,2.75761,3.56897,0,0,0,0,4.03946,4.3644,4.13454,0.000667142,0.000667142,0.000667142
17,47.9515,3.40171,2.64267,3.51631,0,0,0,0,4.03925,4.37312,4.13585,0.000701474,0.000701474,0.000701474
18,50.6574,3.05564,2.54287,3.5519,0,0,0,0,4.02758,4.37392,4.13263,0.000734815,0.000734815,0.000734815
19,53.2497,3.64632,2.21994,3.10941,0,0,0,0,4.03336,4.40434,4.13708,0.000767167,0.000767167,0.000767167
20,55.8688,3.0666,2.96335,2.95638,0,0,0,0,4.04188,4.43505,4.14403,0.000798528,0.000798528,0.000798528
21,58.652,3.10708,2.15544,3.13192,0.00129,0.07692,0.00075,8e-05,4.04974,4.47148,4.15159,0.000828899,0.000828899,0.000828899
22,61.2949,2.88558,2.26689,3.03176,0.00129,0.07692,0.00074,7e-05,4.01878,4.45158,4.14475,0.00085828,0.00085828,0.00085828
23,63.935,3.18202,2.21772,2.8719,0,0,0,0,4.00922,4.46027,4.14651,0.000886671,0.000886671,0.000886671
24,66.629,2.92766,2.20116,3.10457,0,0,0,0,3.96572,4.41628,4.13595,0.000914071,0.000914071,0.000914071
25,69.2684,2.70401,1.99471,2.68737,0,0,0,0,3.87707,4.31849,4.11437,0.000940481,0.000940481,0.000940481
26,72.3651,2.87434,2.11945,2.72173,0,0,0,0,3.65446,4.1026,4.05992,0.000965901,0.000965901,0.000965901
27,75.6008,2.63069,2.03809,2.8132,0.00994,0.38462,0.01155,0.00574,3.24939,3.60287,3.93322,0.000990331,0.000990331,0.000990331
28,78.542,2.78738,2.0098,2.71798,0.00569,0.53846,0.07819,0.01984,3.33593,3.17759,3.80255,0.00101377,0.00101377,0.00101377
29,81.5189,2.63761,1.97047,2.62467,0.00569,0.53846,0.07819,0.01984,3.33593,3.17759,3.80255,0.00103622,0.00103622,0.00103622
30,84.5154,2.37637,1.95319,2.60636,0.00463,0.53846,0.11661,0.03947,3.33022,2.97239,3.71578,0.00105768,0.00105768,0.00105768
31,87.5005,2.67422,2.17333,2.58172,0.06579,0.61538,0.17564,0.0662,3.28424,2.81679,3.59582,0.00107815,0.00107815,0.00107815
32,90.3668,2.39141,2.05352,2.61724,0.60467,0.23077,0.26994,0.13334,3.10043,2.59441,3.33259,0.00109763,0.00109763,0.00109763
33,93.2426,2.44294,1.84242,2.5211,0.60467,0.23077,0.26994,0.13334,3.10043,2.59441,3.33259,0.00111612,0.00111612,0.00111612
34,96.1168,2.6199,1.77381,2.40084,0.80534,0.23077,0.30901,0.12679,2.87292,2.44366,3.09944,0.00112239,0.00112239,0.00112239
35,99.2086,2.46809,1.81819,2.44806,0.66312,0.30769,0.34322,0.08149,2.76116,2.58497,3.11396,0.00110589,0.00110589,0.00110589
36,102.486,2.40572,2.13182,2.62464,0.8754,0.15385,0.28536,0.09823,2.32158,2.36964,2.96235,0.00108938,0.00108938,0.00108938
37,105.791,2.37656,1.98778,2.5429,0.8754,0.15385,0.28536,0.09823,2.32158,2.36964,2.96235,0.00107288,0.00107288,0.00107288
38,109.316,2.29533,1.76913,2.25998,0.92005,0.23077,0.44055,0.19014,1.82524,2.17,2.70604,0.00105638,0.00105638,0.00105638
39,112.578,2.43319,1.88881,2.37288,0.44313,0.46154,0.57704,0.26421,1.72903,2.04431,2.6493,0.00103987,0.00103987,0.00103987
40,117.556,2.03181,1.66932,2.24684,0.37787,0.53846,0.51792,0.27246,1.719,2.06684,2.60693,0.00102337,0.00102337,0.00102337
41,120.463,2.1707,1.88383,2.23399,0.37787,0.53846,0.51792,0.27246,1.719,2.06684,2.60693,0.00100687,0.00100687,0.00100687
42,123.682,2.24407,1.74771,2.27098,0.46822,0.53846,0.55565,0.32445,1.69877,2.00017,2.59218,0.000990365,0.000990365,0.000990365
43,126.735,2.19349,1.65799,2.27392,0.61408,0.46154,0.5397,0.35323,1.67533,1.93209,2.58764,0.000973861,0.000973861,0.000973861
44,129.774,2.2247,1.76877,2.29741,0.73237,0.53846,0.60044,0.36696,1.55456,1.77933,2.42861,0.000957358,0.000957358,0.000957358
45,132.755,2.31828,1.80945,2.18163,0.73237,0.53846,0.60044,0.36696,1.55456,1.77933,2.42861,0.000940855,0.000940855,0.000940855
46,135.75,2.18269,1.67717,2.16139,0.67663,0.53846,0.62715,0.35154,1.58142,1.67948,2.35295,0.000924352,0.000924352,0.000924352
47,138.608,2.36025,1.95183,2.14698,0.34916,0.70185,0.45792,0.27797,1.42735,1.70887,2.27723,0.000907848,0.000907848,0.000907848
48,141.524,2.15414,1.63604,2.14715,0.46163,0.61538,0.61857,0.36674,1.47671,1.65943,2.32687,0.000891345,0.000891345,0.000891345
49,144.576,2.19455,1.77723,2.23083,0.46163,0.61538,0.61857,0.36674,1.47671,1.65943,2.32687,0.000874842,0.000874842,0.000874842
50,147.906,2.05815,1.65881,2.01278,0.61039,0.72427,0.69976,0.34665,1.48815,1.65777,2.31557,0.000858338,0.000858338,0.000858338
51,151.24,2.04117,1.71144,2.00674,0.44133,0.92308,0.65116,0.34057,1.47809,1.60399,2.22829,0.000841835,0.000841835,0.000841835
52,154.562,2.04383,1.6283,2.17432,0.52713,0.61538,0.66743,0.39077,1.48181,1.60212,2.22968,0.000825332,0.000825332,0.000825332
53,157.638,2.17553,1.54211,2.1978,0.52713,0.61538,0.66743,0.39077,1.48181,1.60212,2.22968,0.000808828,0.000808828,0.000808828
54,160.807,2.10959,1.72548,2.02556,0.52615,0.85448,0.73791,0.43367,1.55328,1.51167,2.17625,0.000792325,0.000792325,0.000792325
55,163.956,2.20573,1.6838,1.95262,0.56039,0.88346,0.77304,0.44761,1.50544,1.46365,2.14665,0.000775822,0.000775822,0.000775822
56,166.84,2.16019,1.68595,2.2307,0.69884,0.84615,0.80559,0.46979,1.39506,1.40624,2.09176,0.000759318,0.000759318,0.000759318
57,169.819,1.89417,1.51701,1.98715,0.69884,0.84615,0.80559,0.46979,1.39506,1.40624,2.09176,0.000742815,0.000742815,0.000742815
58,172.727,2.12618,1.61808,2.08952,0.76324,0.74527,0.80166,0.51372,1.35769,1.46631,2.08556,0.000726312,0.000726312,0.000726312
59,175.692,2,1.6052,1.97245,0.64245,0.76923,0.82801,0.5149,1.45695,1.46897,2.06823,0.000709809,0.000709809,0.000709809
60,178.514,2.00188,1.59941,2.05722,0.59596,0.79519,0.82148,0.42173,1.64095,1.49305,2.09922,0.000693305,0.000693305,0.000693305
61,181.423,1.98832,1.56111,1.83288,0.59596,0.79519,0.82148,0.42173,1.64095,1.49305,2.09922,0.000676802,0.000676802,0.000676802
62,184.273,1.9048,1.51969,1.93009,0.58519,0.76923,0.78283,0.41534,1.52897,1.51325,2.13554,0.000660299,0.000660299,0.000660299
63,187.175,2.00561,1.57065,1.82764,0.63332,0.69231,0.80713,0.46788,1.52551,1.48702,2.08872,0.000643795,0.000643795,0.000643795
64,190.031,1.86181,1.4652,1.84708,0.88588,0.5987,0.79269,0.50488,1.49475,1.46449,2.04435,0.000627292,0.000627292,0.000627292
65,192.897,1.8128,1.5496,1.71293,0.88588,0.5987,0.79269,0.50488,1.49475,1.46449,2.04435,0.000610789,0.000610789,0.000610789
66,195.944,1.90158,1.59214,2.01921,0.91914,0.53846,0.77135,0.50327,1.49821,1.50193,2.05439,0.000594286,0.000594286,0.000594286
67,198.813,1.95285,1.57284,1.97367,0.93506,0.69231,0.83669,0.556,1.4595,1.4183,2.00332,0.000577782,0.000577782,0.000577782
68,201.705,1.75118,1.48386,1.83585,0.85363,0.76923,0.88072,0.58717,1.42504,1.33665,1.95392,0.000561279,0.000561279,0.000561279
69,204.563,1.81315,1.44911,1.76593,0.85363,0.76923,0.88072,0.58717,1.42504,1.33665,1.95392,0.000544776,0.000544776,0.000544776
70,207.489,1.82736,1.51593,1.83391,0.7731,0.84615,0.87239,0.55081,1.37985,1.33536,1.85649,0.000528272,0.000528272,0.000528272
71,210.463,1.87098,1.55321,1.91987,0.71334,0.84615,0.86989,0.4883,1.40238,1.34608,1.86047,0.000511769,0.000511769,0.000511769
72,213.338,1.64685,1.3205,1.81227,0.75286,0.93804,0.91758,0.5349,1.38418,1.31799,1.86546,0.000495266,0.000495266,0.000495266
73,216.255,1.78784,1.44156,1.68328,0.75286,0.93804,0.91758,0.5349,1.38418,1.31799,1.86546,0.000478762,0.000478762,0.000478762
74,219.138,1.9037,1.5008,1.94489,0.80616,0.96099,0.94102,0.57005,1.3706,1.31567,1.89469,0.000462259,0.000462259,0.000462259
75,222.063,2.00065,1.52834,2.02315,0.98322,0.76923,0.93336,0.57603,1.4752,1.33668,1.96085,0.000445756,0.000445756,0.000445756
76,225.088,1.82579,1.47201,2.00393,0.90514,0.73578,0.90571,0.5137,1.58669,1.37546,1.99106,0.000429253,0.000429253,0.000429253
