epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.983,1.1886,1.09223,1.30417,0.4434,0.33611,0.33274,0.20499,1.93506,3.16242,2.1312,0.070046,0.00332822,0.00332822
2,273.274,1.09534,0.92356,1.2684,0.93391,0.82786,0.88798,0.66453,0.96666,0.74358,1.23119,0.0400279,0.00664349,0.00664349
3,404.712,1.00373,0.81263,1.20962,0.93905,0.82873,0.89159,0.68158,0.9204,0.73377,1.19767,0.0099379,0.00988677,0.00988677
4,536.564,0.95494,0.76954,1.18311,0.95476,0.84136,0.90123,0.69558,0.90693,0.65287,1.19135,0.00975773,0.00975773,0.00975773
5,673.845,0.90494,0.72926,1.15451,0.95326,0.85862,0.90921,0.72395,0.83724,0.59935,1.13021,0.00957205,0.00957205,0.00957205
6,810.744,0.87087,0.69979,1.1357,0.9614,0.86883,0.91809,0.73484,0.79241,0.56534,1.117,0.00933683,0.00933683,0.00933683
7,945.813,0.84116,0.66945,1.11807,0.94371,0.87213,0.91636,0.73953,0.77741,0.55596,1.1039,0.00905463,0.00905463,0.00905463
8,1077.21,0.81443,0.64601,1.10372,0.96112,0.8649,0.92174,0.76282,0.7219,0.53424,1.07072,0.00872857,0.00872857,0.00872857
9,1210.23,0.78702,0.63033,1.09177,0.9468,0.87369,0.92081,0.76853,0.71383,0.52366,1.06483,0.0083622,0.0083622,0.0083622
10,1341.67,0.77531,0.61224,1.08028,0.95425,0.87799,0.92496,0.77177,0.70282,0.49486,1.06055,0.00795954,0.00795954,0.00795954
11,1472.91,0.75677,0.60038,1.0719,0.96785,0.88027,0.92895,0.78153,0.67383,0.48076,1.03684,0.007525,0.007525,0.007525
12,1605.94,0.74523,0.5953,1.06645,0.96578,0.88349,0.93043,0.78762,0.66336,0.46589,1.02704,0.00706335,0.00706335,0.00706335
13,1737.25,0.73055,0.58132,1.0602,0.96051,0.88229,0.93083,0.79188,0.64784,0.45991,1.02081,0.00657963,0.00657963,0.00657963
14,1867.86,0.71321,0.56344,1.0478,0.97247,0.88125,0.93288,0.79796,0.62156,0.44395,1.00397,0.00607916,0.00607916,0.00607916
15,2001.58,0.70078,0.55265,1.04115,0.96303,0.88483,0.93254,0.80241,0.61226,0.44141,0.99738,0.00556742,0.00556742,0.00556742
16,2133.58,0.68722,0.54776,1.03658,0.96912,0.89154,0.9345,0.80785,0.59765,0.43113,1.00016,0.00505,0.00505,0.00505
17,2264.58,0.66733,0.52846,1.02656,0.97039,0.8886,0.93564,0.81004,0.5918,0.42345,0.99317,0.00453258,0.00453258,0.00453258
18,2399.09,0.66221,0.52746,1.02526,0.96745,0.89392,0.93665,0.81387,0.57896,0.41082,0.9794,0.00402084,0.00402084,0.00402084
19,2530.33,0.65274,0.51698,1.0192,0.96992,0.89121,0.93731,0.81651,0.57236,0.40459,0.97703,0.00352037,0.00352037,0.00352037
20,2663.07,0.63578,0.50412,1.00955,0.97449,0.89523,0.93823,0.82278,0.56379,0.4027,0.97149,0.00303665,0.00303665,0.00303665
21,2814.83,0.59937,0.42558,0.99142,0.97384,0.89458,0.93847,0.82309,0.56065,0.3989,0.96743,0.002575,0.002575,0.002575
22,2945.76,0.58439,0.40992,0.98396,0.97724,0.89732,0.9396,0.82547,0.55272,0.3902,0.96488,0.00214046,0.00214046,0.00214046
23,3081.56,0.57169,0.40573,0.97698,0.97359,0.89988,0.93982,0.82962,0.54487,0.38934,0.95772,0.0017378,0.0017378,0.0017378
24,3218.43,0.56148,0.39397,0.9714,0.97559,0.90032,0.94049,0.83061,0.53874,0.38278,0.95287,0.00137143,0.00137143,0.00137143
25,3358.69,0.54545,0.38475,0.96295,0.97324,0.90294,0.94155,0.83241,0.5328,0.37987,0.95115,0.00104537,0.00104537,0.00104537
26,3496.66,0.54098,0.38231,0.95988,0.97487,0.90355,0.94264,0.83435,0.52831,0.37538,0.94772,0.000763174,0.000763174,0.000763174
27,3636.27,0.52959,0.37248,0.95687,0.97361,0.90386,0.9432,0.8352,0.52554,0.37184,0.9467,0.00052795,0.00052795,0.00052795
28,3773.14,0.52427,0.37157,0.9549,0.97495,0.90282,0.9432,0.83562,0.52352,0.37065,0.9455,0.00034227,0.00034227,0.00034227
29,3909.49,0.52037,0.36984,0.95273,0.97502,0.90147,0.94285,0.83553,0.52202,0.37,0.94576,0.000208169,0.000208169,0.000208169
30,4045.68,0.51919,0.36481,0.95303,0.97487,0.90301,0.94342,0.83613,0.52064,0.36958,0.94528,0.000127117,0.000127117,0.000127117
